Thursday,Lunch,Coconut Water (Nariyal Pani),North Indian,Veg,Trimester 3
Thursday,Lunch,Roasted Corn (Bhutta),North Indian,Veg,Trimester 3
Friday,Breakfast,Mango (Aam) Smoothie,North Indian,Veg,Trimester 3
Friday,Breakfast,Ragi Dosa with Coconut Chutney,North Indian,Veg,Trimester 3
Friday,Snack,Black Gram (Urad) Dal,North Indian,Veg,Trimester 3
Friday,Snack,Round Gourd (Tinda) Sabzi,North Indian,Veg,Trimester 3
Friday,Snack,Chickpea Flour (Besan) Chilla with Spinach,North Indian,Veg,Trimester 3
Friday,Lunch,Pineapple (Ananaas) Lassi,North Indian,Veg,Trimester 3
Friday,Lunch,Puffed Rice (Murmura) with Roasted Peanuts (Moongphali),North Indian,Veg,Trimester 3
Saturday,Breakfast,Papaya (Papita) Smoothie,North Indian,Veg,Trimester 3
Saturday,Breakfast,Vegetable Dhokla,North Indian,Veg,Trimester 3
Saturday,Snack,Mungbean (Moong) Dal,North Indian,Veg,Trimester 3
Saturday,Snack,Carrot & Peas (Gajar Matar) Sabzi,North Indian,Veg,Trimester 3
Saturday,Snack,Chapati/Rice,North Indian,Veg,Trimester 3
Saturday,Lunch,Jal Jeera,North Indian,Veg,Trimester 3
Saturday,Lunch,Sweet Potato (Shakarkandi) Chaat,North Indian,Veg,Trimester 3
Saturday,Dinner,Soya & Mushroom (Khumb) Curry,North Indian,Veg,Trimester 3
Saturday,Dinner,Okra (Bhindi) Sabzi,North Indian,Veg,Trimester 3
Saturday,Dinner,Cucumber & Carrot (Kheera Gajar) Salad,North Indian,Veg,Trimester 3
Saturday,Dinner,Chapati/Rice,North Indian,Veg,Trimester 3
Saturday,Dinner,Red Lentil (Masoor) Dal,North Indian,Veg,Trimester 3
Saturday,Dinner,Beans (Beens) Sabzi,North Indian,Veg,Trimester 3
Saturday,Dinner,Spinach (Palak) Saag,North Indian,Veg,Trimester 3
Saturday,Dinner,Beetroot (Chukandar) Raita,North Indian,Veg,Trimester 3
Saturday,Dinner,Bottle Gourd (Lauki) Kofta Curry,North Indian,Veg,Trimester 3
Saturday,Dinner,Crispy Lotus Stem (Kamal Kakri) Sabzi,North Indian,Veg,Trimester 3
Saturday,Dinner,Pearl Millet (Bajra) Roti,North Indian,Veg,Trimester 3
Saturday,Dinner,Horse Gram (Kala Chana) Curry,North Indian,Veg,Trimester 3
Saturday,Dinner,Peas (Matar) Pulao,North Indian,Veg,Trimester 3
Saturday,Dinner,Onion & Tomato (Tamatar Pyaaz) Raita,North Indian,Veg,Trimester 3
Saturday,Dinner,Black-eyed Peas (Lobia) Curry,North Indian,Veg,Trimester 3
Saturday,Dinner,Radish (Mooli) Sabzi,North Indian,Veg,Trimester 3
Saturday,Dinner,Lamb's Quarter (Bathua) Roti,North Indian,Veg,Trimester 3
Saturday,Dinner,Curd (Dahi),North Indian,Veg,Trimester 3
Saturday,Dinner,Tomato (Tamatar) Sauce with Steamed Broccoli (Hari Gobhi) Sticks,North Indian,Veg,Trimester 3
Monday,Breakfast,Grapes (Angoor) Smoothie,North Indian,Veg,Trimester 3
Monday,Breakfast,Vegetable Dalia with Carrots & Peas,North Indian,Veg,Trimester 3
Monday,Snack,Pigeon Pea (Arhar/Toor) Dal Curry,North Indian,Veg,Trimester 3
Monday,Snack,Beans & Coconut (Beens Nariyal) Sabzi,North Indian,Veg,Trimester 3
Monday,Snack,Mango Pulp (Aam Ras),North Indian,Veg,Trimester 3
Monday,Lunch,Coconut Water (Nariyal Pani),North Indian,Veg,Trimester 3
Monday,Lunch,Roasted Chickpeas (Chana),North Indian,Veg,Trimester 3
Monday,Lunch,Vegetable Pulao with Mixed Beans,North Indian,Veg,Trimester 3
Tuesday,Breakfast,Figs (Anjeer) with Milk,North Indian,Veg,Trimester 3
Tuesday,Breakfast,Vegetable Poha,North Indian,Veg,Trimester 3
Tuesday,Snack,Peas & Mushroom (Matar Khumb) Curry,North Indian,Veg,Trimester 3
Tuesday,Snack,Okra (Bhindi) Sabzi,North Indian,Veg,Trimester 3
Tuesday,Lunch,Buttermilk (Chhaach),North Indian,Veg,Trimester 3
Tuesday,Lunch,Mixed Nuts & Dry Fruits,North Indian,Veg,Trimester 3
Tuesday,Lunch,Sweet Corn & Carrot Salad,North Indian,Veg,Trimester 3
Wednesday,Breakfast,Banana (Kela) Shake,North Indian,Veg,Trimester 3
Wednesday,Breakfast,Ragi Porridge with Jaggery,North Indian,Veg,Trimester 3
Wednesday,Snack,Red Lentil (Masoor) Dal,North Indian,Veg,Trimester 3
Wednesday,Snack,Fenugreek Potato (Methi Aloo) Sabzi,North Indian,Veg,Trimester 3
Wednesday,Snack,Curd (Dahi) with Mint,North Indian,Veg,Trimester 3
Wednesday,Lunch,Pomegranate (Anaar) Juice,North Indian,Veg,Trimester 3
Wednesday,Lunch,Flattened Rice (Poha) with Beans & Carrot,North Indian,Veg,Trimester 3
Thursday,Breakfast,Dates (Khajoor) Smoothie,North Indian,Veg,Trimester 3
Thursday,Breakfast,Vegetable Upma,North Indian,Veg,Trimester 3
Thursday,Snack,Mixed Dal (Milijhuli Dal) Curry,North Indian,Veg,Trimester 3
Thursday,Snack,Spring Onion & Tomato (Hari Pyaaz Tamatar) Sabzi,North Indian,Veg,Trimester 3
Thursday,Snack,Chapati/Rice,North Indian,Veg,Trimester 3
Thursday,Lunch,Lemonade (Nimbu Pani),North Indian,Veg,Trimester 3
Thursday,Lunch,Sweet Potato (Shakarkandi) Chaat,North Indian,Veg,Trimester 3
Thursday,Lunch,Vegetable Cutlet,North Indian,Veg,Trimester 3
Friday,Breakfast,Apple (Seb) Slices,North Indian,Veg,Trimester 3
Friday,Breakfast,Rice & Moong Dal Porridge,North Indian,Veg,Trimester 3
Friday,Snack,Bottle Gourd (Lauki) Kofta Curry,North Indian,Veg,Trimester 3
Friday,Snack,Cabbage (Patta Gobhi) Sabzi,North Indian,Veg,Trimester 3
Friday,Snack,Roti Wrap with Mushroom (Khumb Masala),North Indian,Veg,Trimester 3
Friday,Lunch,Papaya (Papita) Honey Smoothie,North Indian,Veg,Trimester 3
Friday,Lunch,Roasted Peanuts (Moongphali),North Indian,Veg,Trimester 3
Friday,Lunch,Steamed Green Gram (Hari Moong) Sprout Salad,North Indian,Veg,Trimester 3
Saturday,Breakfast,Watermelon (Tarbooj) Chunks,North Indian,Veg,Trimester 3
Saturday,Breakfast,Custard Apple (Sitaphal) Shake,North Indian,Veg,Trimester 3
Saturday,Snack,Black-eyed Pea (Lobia) Curry,North Indian,Veg,Trimester 3
Saturday,Snack,Runner Bean (Sem) Sabzi,North Indian,Veg,Trimester 3
Saturday,Snack,Cucumber & Carrot (Kheera Gajar) Salad,North Indian,Veg,Trimester 3
Saturday,Lunch,Baked Potato (Aloo) Wedges,North Indian,Veg,Trimester 3
Saturday,Lunch,Almond (Badaam) Milk,North Indian,Veg,Trimester 3
Saturday,Lunch,Sprouted Peas (Matar Chaat),North Indian,Veg,Trimester 3
Saturday,Dinner,Kadhi with Steamed Rice,North Indian,Veg,Trimester 3
Saturday,Dinner,Cumin Potato (Jeera Aloo) Sabzi,North Indian,Veg,Trimester 3
Saturday,Dinner,Vegetable Chapati,North Indian,Veg,Trimester 3
Saturday,Dinner,Curd (Dahi) with Mint,North Indian,Veg,Trimester 3
Day,Meal Type,Food,Regional Type,Food Type,Trimester
Sunday,Dinner,Vegetable Pulao with Cucumber-Carrot Raita,North Indian,Veg,Trimester 3
Sunday,Dinner,Chapati with Paneer Makhani & Stir-fried Bottle Gourd,North Indian,Veg,Trimester 3
Sunday,Dinner,Moong Dal Tadka with Spinach Sabzi,North Indian,Veg,Trimester 3
Monday,Dinner,Ragi Roti with Mixed Vegetable Curry & Beetroot Sabzi,North Indian,Veg,Trimester 3
Monday,Dinner,Chapati with Green Peas Masala & Carrot Beans Sabzi,North Indian,Veg,Trimester 3
Monday,Dinner,Steamed Rice with Masoor Dal & Cabbage Sabzi,North Indian,Veg,Trimester 3
Tuesday,Dinner,Vegetable Khichdi with Tomato-Onion Salad,North Indian,Veg,Trimester 3
Tuesday,Dinner,Chapati with Rajma Curry & Ridge Gourd Sabzi,North Indian,Veg,Trimester 3
Tuesday,Dinner,Lauki Kofta Curry with Jeera Rice,North Indian,Veg,Trimester 3
Wednesday,Dinner,Lemon Rice with Mixed Vegetable Stir Fry,North Indian,Veg,Trimester 3
Wednesday,Dinner,Chapati with Paneer Bhurji & Snake Gourd Sabzi,North Indian,Veg,Trimester 3
Wednesday,Dinner,Steamed Rice with Chole Curry & French Beans Sabzi,North Indian,Veg,Trimester 3
Thursday,Dinner,Vegetable Oats Khichdi with Mint Raita,North Indian,Veg,Trimester 3
Thursday,Dinner,Chapati with Mushroom Masala & Spinach Sabzi,North Indian,Veg,Trimester 3
Thursday,Dinner,Steamed Rice with Mixed Dal & Carrot Peas Sabzi,North Indian,Veg,Trimester 3
Friday,Dinner,Vegetable Poha with Roasted Peanuts & Lemon,North Indian,Veg,Trimester 3
Friday,Dinner,Chapati with Potato-Cauliflower Sabzi,North Indian,Veg,Trimester 3
Friday,Dinner,Steamed Rice with Moong Dal & Bottle Gourd Sabzi,North Indian,Veg,Trimester 3
Saturday,Dinner,Vegetable Pulao with Cucumber Raita,North Indian,Veg,Trimester 3
Saturday,Dinner,Chapati with Paneer Tikka Masala & Carrot Beans Stir Fry,North Indian,Veg,Trimester 3
Saturday,Dinner,Steamed Rice with Rajma Masala & Spinach Sabzi,North Indian,Veg,Trimester 3


